company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
"Accel Entertainment, Inc.",ACEL,Elevating Entertainment Experiences,8.5,1200,To revolutionize the entertainment industry through innovation and exceptional customer experiences.,Chicago,Chicago,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Team Collaboration,Market Research; Product Development; User Experience Design,Continuous improvement and customer-centric solutions drive our project ideation process.,Digital Transformation Initiative; Customer Loyalty Program Enhancement,Technology Integration; Customer Engagement; Market Expansion,Stable economic conditions; Industry growth trends continue,Technology infrastructure upgrades; Regulatory compliance,Scholarship Programs; Research Grants,0.9294,1.1761,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
Oceanfirst Financial Corp,OCFC,Your Community Bank,2500000000,1500,To provide personalized financial solutions to individuals and businesses in our community.,Toms River,Toms River,Christopher D. Maher,Christopher D. Maher (CEO); Joseph J. Lebel III (CFO),Community involvement; Customer-centric approach,Digital transformation; Customer experience enhancement,Implementing AI-driven chatbots for customer support,Mobile banking app development; Data analytics for personalized services,Retail banking; Commercial lending; Wealth management,Stable interest rates; Growing local economy,Regulatory compliance; Technological infrastructure,Local university scholarships; Financial literacy programs,9.3979,9.699,12.0,3.5,8,55.5,2022-01-20T08:30:00Z
"Bit Digital, Inc",BTBT,Empowering the future of digital assets,8.5,150,To revolutionize the digital asset industry through innovative solutions and cutting-edge technology,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Transparency; Efficiency,Blockchain Technology; Cryptocurrency Mining,Exploring decentralized finance solutions,Blockchain Integration; Data Security Enhancement,Digital Asset Management; Blockchain Solutions; Cryptocurrency Mining,Growing demand for digital assets; Technological advancements in blockchain,Market volatility; Regulatory changes,Scholarship programs; Research grants,0.9294,1.1761,12.0,5.3,8,0.5,2023-10-26T08:30:00Z
"Pacira Biosciences, Inc.",PCRX,Advancing and improving patient care through innovation,300000000.0,1000,Dedicated to providing innovative solutions for postsurgical pain management,Parsippany,Parsippany,Dave Stack,Dave Stack (CEO); Scott Braunstein (CDO),Innovation; Patient Care; Excellence,Research & Development; Clinical Trials,Exploring novel drug delivery mechanisms for improved pain management,Sustainable Pain Management Solutions; Enhanced Patient Recovery Programs,Postsurgical Pain Management; Drug Delivery Technologies; Patient Outcomes,Continued regulatory approvals; Market demand for innovative pain management solutions,Research partnerships; Clinical trial outcomes,Scholarship Programs; Medical Research Grants,8.4771,9.0,0.15,5.0,3,25.0,2022-01-20T08:00:00Z
Community Trust Bancorp Inc /Ky/,CTBI,Building Strong Communities Together,8.5,1200,To empower individuals and businesses in our community through trusted financial solutions.,Pikeville,Pikeville,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Community Engagement; Innovation,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Optimization,Retail Banking; Wealth Management; Commercial Lending,Stable economic conditions; Regulatory compliance,Technology infrastructure upgrades; Market trends,Scholarship Programs; Financial Literacy Initiatives,0.9294,1.6989,0.0453,0.012,7,0.0,2022-01-20T08:30:00Z
"Corsair Gaming, Inc.",CRSR,Elevating the gaming experience,1000000000,3000,To provide high-quality gaming products and accessories to enhance the gaming experience for enthusiasts worldwide.,Fremont,Fremont,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Customer Satisfaction,Product Development; Market Research,Exploring new gaming accessory lines,RGB Lighting Technology; Wireless Gaming Mice,E-sports Sponsorship; Product Customization,Growing gaming industry; Increasing demand for high-performance gaming gear,Supply chain logistics; Technological advancements,STEM Scholarships; Gaming Design Programs,9.0,9.5,12.0,8.0,3,35.5,2022-10-31T08:00:00Z
"Global Ship Lease, Inc.",GSL,Connecting the World Through Shipping,2000000000,500,To provide efficient and reliable shipping solutions globally.,London,London,John Smith,John Smith (CEO); Emily Johnson (CFO),Efficiency; Reliability; Global Connectivity,Market Research; Product Development,Exploring new routes for increased efficiency,Fuel Optimization; Route Planning,Global Expansion; Technology Integration,Stable fuel prices; Growing global trade,Global economic conditions; Regulatory environment,Maritime Studies Program at London University; Scholarship Fund for Maritime Students,9.301,10.4771,12.0,5.0,3,0.0,2022-10-31T08:00:00Z
"Ameresco, Inc.",AMRC,Leading energy efficiency and renewable energy solutions,1000000000,1000,To build a sustainable future through innovative energy solutions,Framingham,Framingham,George P. Sakellaris,"George P. Sakellaris (Chairman, President, and CEO); Mark A. Chiplock (CFO)",Sustainability; Innovation; Efficiency,Renewable Energy; Energy Efficiency,Developing cutting-edge energy solutions for commercial and government clients,Solar Power Installation; Energy Management Systems,Renewable Energy Integration; Energy Performance Contracting,Stable government policies supporting renewable energy; Growing demand for energy efficiency,Access to financing for large-scale projects; Technological advancements in energy storage,Scholarship programs; Research grants,9.0,9.5,8.0,5.0,3,20.5,2022-10-31T08:00:00Z
Kosmos Energy Ltd.,KOS,Exploration and Production Company,1000000000,1000,"To create long-term value through the discovery, development, and production of oil and gas resources in a safe and environmentally responsible manner.",Dallas,Dallas,Andrew G. Inglis,Andrew G. Inglis (Chairman and CEO); Neal D. Shah (CFO),Innovation; Sustainability; Integrity,Exploration; Seismic Imaging; Drilling,Utilizing advanced technology for offshore exploration,Ghana Offshore Project; Mauritania Offshore Project,West Africa; Gulf of Mexico; Equatorial Guinea,Stable oil prices; Access to capital markets,Government regulations; Global economic conditions,STEM Scholarships; Research Grants,9.0,8.5,12.0,5.0,3,1200.5,2022-10-31T08:00:00Z
"Pulse Biosciences, Inc.",PLSE,Advancing Nano-Pulse Stimulation (NPS) technology for bioelectric medicine,50000000,150,To develop innovative bioelectric medicine solutions for patients worldwide,Hayward,Hayward,Darrin Uecker,Darrin Uecker (CEO); Sandra Gardiner (CFO),Innovation; Patient-Centricity; Excellence,Research & Development; Clinical Trials,Exploring new applications of NPS technology in oncology,Dermatology; Ophthalmology,Bioelectric Medicine; Nanotechnology; Medical Devices,Increasing adoption of bioelectric therapies; Regulatory approvals for new indications,Funding for clinical trials; Collaboration with healthcare providers,Scholarship programs; Research grants,7.699,8.4771,12.0,3.5,8,0.0,2023-10-26T08:30:45Z
