company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Alphabet Inc.,GOOGL,Organizing the world's information,161.9,135301,To organize the world's information and make it universally accessible and useful.,Mountain View,Mountain View,Sundar Pichai,Sundar Pichai (CEO); Ruth Porat (CFO),Innovation; Diversity; Sustainability,Artificial Intelligence; Cloud Computing; Autonomous Vehicles,Exploring new technologies to enhance user experience,Machine Learning; Augmented Reality; Blockchain,Search; Advertising; Cloud Computing,Continuous technological advancements; Global market expansion,Internet infrastructure; Regulatory compliance,STEM Education Programs; Research Grants; Scholarships,2.21,2.89,0.12,0.37,1,5.0,2023-10-26T08:30:00Z
Eli Lilly & Co,LLY,Answers that matter,24000000000,33000,"To make life better by discovering new medicines, providing healthcare solutions, and improving access to healthcare.",,,,,,,,,,,,,10.38,11.2,0.18,0.05,3,0.0,2023-10-26T08:45:30Z
Bank Of America Corp /De/,BAC,Life's Better When We're Connected,91000000000,208000,To help make financial lives better through the power of every connection.,Charlotte,Charlotte,Brian Moynihan,Brian Moynihan (CEO); Catherine P. Bessant (COO),Integrity; Customer Focus; Teamwork,Digital Transformation; Innovation in Banking,Exploring AI-driven customer service solutions,Blockchain Integration; Cybersecurity Enhancement,Retail Banking; Wealth Management; Corporate Banking,Stable Economic Conditions; Regulatory Compliance,Technological Infrastructure; Market Trends,Scholarship Programs; Research Grants,10.959,11.7782,0.28,0.11,3,0.0,2023-10-26T08:30:15Z
Asml Holding Nv,ASML,Innovation for a better world,14500000000,25000,Empowering technological progress to shape a sustainable future,Veldhoven,Veldhoven,Peter Wennink,Peter Wennink (CEO); Martin van den Brink (President and CTO),Innovation; Sustainability; Excellence,Research & Development; Technological Advancements,Exploring cutting-edge technologies for future growth,Advanced Lithography Systems; Semiconductor Manufacturing Solutions,Semiconductor Industry; Nanotechnology; Advanced Manufacturing,Stable market demand for semiconductor equipment; Continuous technological advancements,Global economic conditions; Regulatory environment,Technical University of Delft; Eindhoven University of Technology,10.1614,11.699,0.18,0.25,3,0.0,2023-10-26T08:30:00Z
"Invesco Qqq Trust, Series 1",QQQ,The Next Generation Tech ETF,10000000000,500,Empowering investors with innovative technology-focused investment solutions.,Atlanta,Atlanta,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Transparency; Excellence,Artificial Intelligence; Blockchain; IoT,Exploring new investment opportunities in emerging technologies.,Data Analytics; Cybersecurity Solutions,Tech Stocks; ETFs; Innovation,Stable market conditions; Growing investor interest in tech sector,Market trends; Regulatory environment,STEM Scholarships; Research Grants,10.0,11.5,0.08,12.5,3,750.0,2022-10-31T08:00:00Z
Boston Scientific Corp,BSX,Advancing Science for Life,10000000000.0,36000,Dedicated to transforming lives through innovative medical solutions that improve the health of patients around the world.,Marlborough,Marlborough,Michael F. Mahoney,Michael F. Mahoney (Chairman and CEO); Daniel J. Brennan (CFO),Innovation; Quality; Patient-Centricity,Research & Development; Clinical Trials,Developing cutting-edge medical devices for various therapeutic areas.,Cardiovascular Devices; Neuromodulation; Endoscopy,Minimally Invasive Therapies; Interventional Procedures; Electrophysiology,Continuous technological advancements; Regulatory compliance,Global healthcare market trends; Availability of skilled workforce,Medical Research Programs; STEM Education Initiatives,10.0,11.5,0.12,0.08,3,30.5,2022-10-31T08:00:00Z
Adobe Inc.,ADBE,Changing the world through digital experiences,12.87,22634,To change the world through digital experiences.,San Jose,San Jose,Shantanu Narayen,Shantanu Narayen (Chairman and CEO); John Murphy (CFO),Innovation; Customer-centricity; Sustainability,Artificial Intelligence; Cloud Computing; Digital Marketing,Empowering creativity through technology,Digital Transformation; Data Analytics; Customer Experience Enhancement,Creative Cloud; Document Cloud; Experience Cloud,Stable market demand for digital solutions; Continued technological advancements,Global economic conditions; Regulatory environment,STEM Education Programs; Digital Literacy Initiatives,1.11,2.56,0.23,12.5,3,0.0,2023-10-26T08:30:00Z
Capital One Financial Corp,COF,Reimagine Money,28000000000,51000,To change banking for good.,Mclean,Mclean,Richard D. Fairbank,Richard D. Fairbank (Chairman and CEO); Scott Blackley (CFO),Innovation; Customer-Centricity; Ethical Practices,Digital Transformation; Data Analytics,Implementing AI-driven personalized banking experiences,Blockchain Integration; Cybersecurity Enhancement,Fintech; Customer Experience Enhancement; Risk Management,Stable economic conditions; Regulatory compliance,Technological advancements; Market trends,Scholarship Programs; Research Grants,10.4472,10.7782,0.12,2.5,4,0.0,2022-10-31T08:00:00Z
Totalenergies Se,TTE,Committed to better energy,2.3,105000,"To provide reliable, affordable, and clean energy solutions globally",Paris,Paris,Patrick Pouyanné,"Patrick Pouyanné (Chairman and CEO); Arnaud Breuillac (President, Exploration & Production)",Sustainability; Innovation; Global Impact,Renewable Energy; Digital Transformation,Exploring new ways to reduce carbon footprint,Solar Energy Expansion; Smart Grid Implementation,Energy Transition; Climate Change Mitigation,Stable oil prices; Government support for renewable energy,Technological advancements; Market demand for clean energy,Scholarships for STEM students; Research grants for sustainable energy projects,9.3617,10.5,8.5,12.3,3,362.5,2023-10-17T08:30:45Z
Medtronic Plc,MDT,"Further, Together",30000000000,90000,"To contribute to human welfare by application of biomedical engineering in the research, design, manufacture, and sale of instruments or appliances that alleviate pain, restore health, and extend life.",,,,,,,,,,,,,10.4771,11.2041,15.0,8.0,3,345.67,2022-01-10T08:30:00Z
