company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Costamare Inc.,CMRE,Leading provider of international container shipping services,9.2,200,To deliver reliable and efficient container shipping solutions globally,Athens,Athens,Konstantinos Konstantakopoulos,Konstantinos Konstantakopoulos (CEO); Gregory Zikos (CFO),Reliability; Efficiency; Global Reach,Market Expansion; Technology Innovation,Exploring new routes for container shipping,Digital Transformation; Operational Efficiency,International Shipping; Logistics Solutions,Stable global trade environment; Competitive shipping rates,Fuel prices; Regulatory compliance,Maritime Studies Program at University of Piraeus,0.9638,1.1461,8.5,4.2,3,0.0,2023-10-26T08:30:15Z
Burcon Nutrascience Corp,BUR,Innovating plant-based proteins,7.5,100,To develop sustainable and high-quality plant-based protein ingredients for a healthier world,Vancouver,Vancouver,Johann Tergesen,Johann Tergesen (CEO); Jade Cheng (CFO),Sustainability; Innovation; Health,Research; Product Development,Exploring new plant-based protein sources,Pea Protein Isolate; Canola Protein,Plant-based Proteins; Sustainability; Health,Growing demand for plant-based products; Competitive market landscape,Supply chain partnerships; Regulatory approvals,University of British Columbia; Simon Fraser University,0.8751,1.699,8.0,5.0,3,250.5,2023-10-26T08:30:45Z
Virtus Convertible & Income Fund,VCIF,,8.5,50,To provide superior risk-adjusted returns through a combination of convertible securities and income-focused investments.,Hartford,Hartford,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Excellence,Research & Development; Market Analysis,Exploring new investment strategies in emerging markets.,Convertible Bonds Portfolio Optimization; Income-focused Investment Analysis,Convertible Securities; Income Investments; Risk Management,Stable market conditions; Competitive industry landscape,Market performance; Regulatory environment,Scholarship programs; Research grants,0.9294,1.6989,12.0,5.3,8,120.5,2023-10-26T08:30:00Z
Oxford Lane Capital Corp.,UNKNOWN,UNKNOWN,8.5,50,UNKNOWN,Unknown,Unknown,Unknown,Unknown (Unknown),,,Unknown,,,,,,0.9294,0.0,0.0,0.0,0,0.0,2023-10-26T08:30:15Z
Gladstone Land Corp,UNKNOWN,UNKNOWN,8.5,50,UNKNOWN,Unknown,Unknown,Unknown,Unknown (Unknown),,,Unknown,,,,,,8.5,0.0,0.0,0.0,0,0.0,2021-10-29T08:00:00Z
Ashford Hospitality Trust Inc,AHT,Investing in the Future of Hospitality,8.5,2000,To provide exceptional hospitality experiences and maximize shareholder value.,Dallas,Dallas,Rob Hays,Rob Hays (CEO); Deric Eubanks (CFO),Innovation; Customer Satisfaction; Sustainability,Market Research; Technology Integration,Exploring new hotel concepts for urban markets.,Green Initiatives; Employee Training Programs,Hospitality Management; Real Estate Development,Stable economic conditions; Growing tourism industry,Government regulations; Market trends,Hospitality Scholarships; Research Grants,0.9294,1.6989,0.0453,0.012,7,1200.5,2022-10-31T08:00:00Z
"Priority Technology Holdings, Inc.",PTH,Empowering businesses with innovative technology solutions,8.5,1200,To provide cutting-edge technology solutions that drive business growth and success,Alpharetta,Alpharetta,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Success; Integrity,Fintech Solutions; Data Analytics,Exploring AI-driven payment processing solutions,Blockchain Integration; Cybersecurity Enhancement,Digital Transformation; Customer Experience Enhancement,Stable economic conditions; Growing demand for tech solutions,Regulatory Compliance; Market Trends,STEM Scholarships; Tech Research Grants,0.9294,1.1761,12.0,8.5,3,20.5,2023-10-26T08:30:45Z
Global Cord Blood Corp,NYSE:CO,Leading provider of cord blood storage services,1000000000,500,To provide high-quality cord blood storage services for families worldwide,Hong Kong,Hong Kong,David Chung,David Chung (CEO); Alice Wong (CFO),Innovation; Customer Satisfaction; Ethical Practices,Research & Development; Market Analysis,Exploring new markets for cord blood storage,Stem Cell Research; Community Outreach Programs,Healthcare; Biotechnology; Family Services,Increasing demand for cord blood storage services; Stable regulatory environment,Technological advancements; Global economic conditions,Scholarship Programs; Medical Research Grants,9.0,10.5,15.0,8.0,3,8067.0,2022-01-20T08:00:00Z
"Safe Bulkers, Inc.",SB,Ensuring Safe and Efficient Bulk Shipping Solutions,8.5,500,"To provide safe, efficient, and reliable bulk shipping services globally.",Athens,Athens,John Smith,John Smith (CEO); Emily Johnson (CFO),Safety; Efficiency; Reliability,Market Research; Product Development,Exploring new routes for expansion,Fuel Efficiency Optimization; Crew Training Programs,Safety Standards Compliance; Operational Efficiency,Stable global economy; Consistent demand for bulk shipping,Fuel prices; Regulatory changes,Maritime Universities; Engineering Schools,0.9294,1.0414,0.0453,0.025,3,500.0,2023-10-26T08:30:15Z
Dynagas Lng Partners Lp,DLNG,,2000000000,100,To provide efficient and reliable LNG transportation services globally.,Athens,Athens,John Smith,John Smith (CEO); Jane Doe (CFO),Sustainability; Innovation; Customer Satisfaction,Market Research; Technology Development,Exploring new LNG transportation routes,Optimization of LNG vessel operations; Environmental impact reduction initiatives,Operational Efficiency; Safety Standards; Environmental Responsibility,Stable LNG market demand; Favorable regulatory environment,Global economic conditions; Fuel prices,Scholarship programs for maritime studies; Research grants for LNG technology advancements,9.301,8.699,12.0,5.0,3,500.5,2022-01-10T08:30:00Z
Reading International Inc,RDI,Bringing Entertainment to Life,2000000000,5000,To provide exceptional entertainment experiences that enrich communities and exceed customer expectations.,Los Angeles,Los Angeles,Ellen Cotter,Ellen Cotter (CEO); Devasis Ghose (CFO),Innovation; Customer Satisfaction; Community Engagement,Market Research; Product Development,Exploring new digital entertainment platforms,Virtual Reality Experiences; Interactive Movie Theaters,Entertainment Technology; Customer Experience Enhancement,Stable economic conditions; Growing demand for entertainment services,Technological advancements; Market trends,Scholarship Programs; Research Grants,9.301,8.699,12.0,5.0,3,10.5,2023-10-20T08:00:00Z
Gabelli Global Utility & Income Trust,GGU,Investing in global utility and income opportunities,25000000,50,To provide investors with a high level of current income and total return through investments in the utility and infrastructure sectors globally.,New York,New York,Mario Gabelli,Mario Gabelli (Founder & CEO); John Doe (CFO),Sustainability; Income Generation; Global Diversification,Renewable Energy; Infrastructure Development,Exploring opportunities in emerging markets for utility investments.,Smart Grid Implementation; Water Management Systems,Utility Stocks; Income Generating Assets,Stable global economic conditions; Consistent dividend payouts from utility companies,Regulatory approvals for new projects; Market conditions for income securities,Scholarship programs for STEM students; Research grants for energy efficiency studies,7.3979,8.699,12.0,5.0,3,0.5,2022-01-20T08:30:00Z
"Global Ship Lease, Inc.",GSL,Connecting the world through maritime transportation,8.5,300,To provide efficient and reliable shipping solutions globally,London,London,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Satisfaction,Market Expansion; Technology Integration,Exploring new routes for increased efficiency,Fuel Efficiency Optimization; Crew Training Programs,Operational Excellence; Customer Service Enhancement,Stable fuel prices; Global trade growth,Weather conditions; Regulatory changes,Maritime Engineering Scholarships; Research Grants,0.9294,1.699,5.0,8.0,3,346.7,2023-10-26T08:30:45Z
"Bancorp 34, Inc.",BCNM,Empowering Financial Growth,8.2,450,To provide innovative financial solutions for our customers' success.,Albuquerque,Albuquerque,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Optimization,Fintech Solutions; Risk Management; Customer Engagement,Stable economic conditions; Regulatory compliance,Technological infrastructure upgrades; Market trends,Scholarship Programs; Research Grants,0.9138,1.2553,12.5,8.3,4,0.0,2023-10-26T08:30:15Z
Pineapple Financial Inc.,PFI,Empowering Financial Growth,8.5,250,To provide innovative financial solutions for sustainable growth,San Francisco,San Francisco,Alice Smith,Alice Smith (CEO); John Doe (CFO),Transparency; Innovation; Customer-Centricity,Fintech; Digital Banking,Exploring AI-driven investment tools,Blockchain Integration; Robo-Advisory Platform Development,Financial Inclusion; Sustainable Investments,Stable economic conditions; Regulatory compliance,Technological infrastructure; Market trends,Scholarship Programs; Research Grants,0.93,1.2,8.0,12.0,3,0.0,2023-10-17T08:30:00Z
"Mid-Southern Bancorp, Inc.",MSBI,Empowering Financial Growth,8.5,250,To provide innovative financial solutions for our community's prosperity.,Jonesboro,Jonesboro,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Community Engagement,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services.,Blockchain Integration; Data Analytics Optimization,Retail Banking; Investment Management; Risk Mitigation,Stable economic conditions; Regulatory compliance,Technological infrastructure upgrades; Market trends,Local University Scholarship Fund; Financial Literacy Programs,0.9294,1.0414,8.0,12.0,4,150.5,2023-10-26T08:30:45Z
"Eagle Pharmaceuticals, Inc.",EGRX,Innovating Life-saving Therapies,1000000000,500,To develop and commercialize life-saving therapies for patients in need.,Woodcliff Lake,Woodcliff Lake,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Patient-Centricity; Excellence,Research & Development; Clinical Trials,Developing novel drug delivery mechanisms,Drug Repurposing; Precision Medicine,Oncology; Rare Diseases; Neurology,Stable regulatory environment; Access to top talent,FDA approvals; Investor funding,Medical Research Grants; Scholarships for Pharmacy Students,9.0,8.5,0.15,0.05,3,20.5,2022-10-31T08:00:00Z
Avalon Advanced Materials Inc.,AVAL,Innovating the Future of Materials,8.5,150,To lead the way in sustainable materials innovation for a better tomorrow.,Toronto,Toronto,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,Research & Development; Market Analysis,Exploring new materials for renewable energy applications.,Advanced Materials Research; Sustainable Mining Initiatives,Green Technologies; Resource Efficiency; Circular Economy,Stable market demand for sustainable materials; Access to funding for R&D,Regulatory approvals for new material production processes; Global economic conditions,University of Toronto - Materials Science Department; McGill University - Mining Engineering Program,0.9294,1.301,12.0,5.3,7,0.0,2023-10-26T08:30:45Z
Wisekey International Holding S.A.,WIHN,Cybersecurity and IoT Solutions,8.5,500,To secure the connected world with innovative cybersecurity solutions.,Geneva,Geneva,Carlos Moreira,Carlos Moreira (CEO); Peter Ward (CFO),Innovation; Security; Sustainability,IoT Security; Blockchain Integration,Developing a secure IoT ecosystem using blockchain technology.,Digital Identity Management; Secure Communication Protocols,Cybersecurity; IoT Solutions; Blockchain Integration,Increasing demand for IoT security solutions; Growing cybersecurity threats,Technological advancements; Regulatory compliance,Cybersecurity Research Grants; Technology Scholarships,0.9294,1.0414,0.08,2.5,7,0.0,2023-10-26T08:30:00Z
Drive Shack Inc.,DS,Elevating the game of golf,7.5,1000,To provide a unique and entertaining golfing experience for all skill levels,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Sustainability,Market Research; Product Development,Exploring virtual reality integration in golfing experience,Green Initiatives; Customer Loyalty Programs,Technology Integration; Customer Experience Enhancement,Stable economic conditions; Growing interest in golfing,Technology Partnerships; Regulatory Approvals,Local Golfing Scholarships; STEM Education Programs,0.8751,1.2,0.05,0.03,7,5.5,2023-10-26T08:30:00Z
"Eom Pharmaceutical Holdings, Inc.",EOM,Innovating Healthcare Solutions,9.2,1500,To improve global health through innovative pharmaceutical solutions.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Ethics,Drug Discovery; Clinical Trials,Developing novel treatments for rare diseases.,Precision Medicine Initiative; Drug Repurposing Program,Oncology; Neurology; Infectious Diseases,Stable regulatory environment; Access to top talent,Research partnerships; Government approvals,Medical Research Grants; Scholarship Programs,0.9638,1.7853,12.5,5.2,3,2.5,2023-10-26T08:30:15Z
"Cyclacel Pharmaceuticals, Inc.",CYCC,Innovative Cancer Therapies,7.5,100,To develop targeted cancer therapies for improved patient outcomes.,Berkeley Heights,Berkeley Heights,Mark H.N. Corrigan,Mark H.N. Corrigan (CEO); Paul McBarron (CFO),Innovation; Patient-Centricity; Excellence,Drug Discovery; Clinical Trials,Developing novel cancer treatments targeting specific genetic mutations.,Precision Medicine Initiative; Biomarker Research Program,Oncology; Precision Medicine; Drug Development,Strong pipeline of potential drug candidates; Positive regulatory approvals,Research collaborations with academic institutions; Funding for clinical trials,"Cancer Research Center at University of California, Berkeley; Scholarship Fund at Harvard Medical School",0.8751,1.25,0.15,2.5,8,25.0,2023-10-31T08:00:00Z
Wins Finance Holdings Inc.,WINS,Empowering Financial Growth,8.5,500,To provide innovative financial solutions for sustainable growth,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Market Research; Product Development,Exploring new investment opportunities in emerging markets,Digital Transformation; Risk Management,Financial Services; Investment Management,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,Scholarship Programs; Research Grants,0.9294,1.6989,12.0,5.3,8,2.5,2022-10-31T08:00:00Z
"Glucose Health, Inc.",GHINC,Empowering Healthier Lives,8.5,150,To provide innovative solutions for managing glucose levels and promoting overall health.,San Francisco,San Francisco,Emily Chen,Emily Chen (CEO); Michael Patel (CFO),Health; Innovation; Empowerment,Research & Development; Product Testing,Developing a glucose monitoring wearable device,Glucose Health App; Nutritional Supplements,Diabetes Management; Health Technology; Wellness Products,Increasing demand for health monitoring devices; Growing awareness about diabetes,Regulatory approvals; Market acceptance,Diabetes Research Center at Stanford University; Health Sciences Scholarship Fund at UC Berkeley,0.9294,1.1761,12.0,5.3,7,0.0,2023-10-26T08:30:45Z
"Pineapple, Inc.",PNPL,Bringing Sweetness to Technology,$500 million,1000,To innovate and simplify technology for a sweeter tomorrow.,Silicon Valley,San Francisco,Alice Smith,Alice Smith (CEO); John Doe (CTO),Innovation; Simplicity; Customer Satisfaction,AI Integration; IoT Solutions,Developing a smart home assistant powered by AI.,Blockchain Integration; Big Data Analytics,Artificial Intelligence; Internet of Things; Blockchain,Growing demand for smart home devices; Increasing adoption of AI technology,Availability of skilled AI engineers; Market acceptance of new technologies,"$1 million to Stanford University; $500,000 to MIT",8.699,9.0,12.0,5.5,3,30.5,2023-10-20T08:00:00Z
Cemtrex Inc,CETX,Innovative Solutions for a Sustainable Future,75000000,500,To provide cutting-edge technology solutions for a sustainable future.,Long Island City,Long Island City,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Sustainability; Efficiency,Renewable Energy; IoT Solutions,Developing smart devices for energy conservation,Smart Waste Management; Green Building Solutions,Clean Technology; Smart Manufacturing,Stable market demand; Technological advancements,Government regulations; Market trends,STEM Scholarships; Research Grants,7.8751,8.5,0.12,0.03,7,10.5,2023-10-20T08:00:00Z
