company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Otter Tail Corp,OTTR,Powering the Future,1.2,3200,To provide innovative energy solutions for a sustainable future.,Fergus Falls,Fergus Falls,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Satisfaction,Renewable Energy; Smart Grid Technology,Developing a new solar energy storage solution.,Wind Farm Optimization; Energy Efficiency Program,Renewable Energy; Energy Management; Grid Modernization,Stable energy market; Government support for clean energy initiatives,Technological advancements; Regulatory approvals,Scholarship programs; Research grants,0.0792,0.301,8.0,12.0,4,200.5,2023-10-26T08:30:00Z
"Bancorp, Inc.",BANC,Empowering Financial Growth,9.2,1500,To provide innovative financial solutions for our customers' success.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Optimization,Fintech; Customer Engagement; Risk Management,Stable economic conditions; Regulatory compliance,Technological infrastructure upgrades; Market trends,Scholarship Programs; Research Grants,9.2,10.5,12.3,8.7,3,5.2,2023-10-31T08:00:00Z
Ultrapar Holdings Inc,UGP,Driving sustainable growth,9.2,15000,To deliver innovative solutions for a sustainable future,Sao Paulo,Sao Paulo,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Customer-centric,Renewable Energy; Green Technology,Exploring new markets for expansion,Waste Management Optimization; Energy Efficiency Solutions,Renewable Energy; Sustainable Development; Customer Experience,Stable economic conditions; Growing demand for sustainable solutions,Government regulations; Market trends,Scholarship programs; Research grants,9.2,10.5,8.2,12.5,3,5900.0,2022-10-31T08:00:00Z
Pt Xlsmart Telecom Sejahtera Tbk/Adr,XL,Connecting You to the Future,9.5,15000,To provide innovative telecom solutions for a connected world.,Jakarta,Jakarta,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Customer Satisfaction; Sustainability,5G Technology; IoT Integration,Exploring AI-driven customer service solutions.,Smart City Initiatives; Digital Transformation,Telecom Infrastructure; Data Analytics; Customer Experience,Stable Economic Conditions; Technological Advancements,Government Regulations; Market Competition,Scholarship Programs; Research Grants,0.9777,1.699,8.0,12.0,3,0.0,2023-10-26T08:30:15Z
Douglas Emmett Inc,DEI,Building a Better Future,1000000000,1000,"To provide high-quality, sustainable real estate solutions for our tenants and communities.",Santa Monica,Santa Monica,John Doe,John Doe (CEO); Jane Smith (CFO),Sustainability; Innovation; Community Engagement,Market Research; Product Development,Exploring new opportunities in the commercial real estate sector.,Green Building Initiatives; Tenant Satisfaction Programs,Sustainable Development; Tenant Experience Enhancement,Stable real estate market conditions; Continued economic growth,Government regulations; Market trends,Local Universities; Scholarship Programs,9.0,10.5,15.0,8.0,3,10.5,2023-10-20T08:00:00Z
Mge Energy Inc,MGEE,Powering a Sustainable Future,500000000.0,300,To provide innovative energy solutions for a sustainable world.,Madison,Madison,John Doe,John Doe (CEO); Jane Smith (CFO),Sustainability; Innovation; Customer Service,Renewable Energy; Energy Efficiency,Exploring new solar energy projects,Wind Farm Expansion; Smart Grid Implementation,Renewable Energy; Grid Modernization; Customer Engagement,Stable regulatory environment; Growing demand for clean energy,Government approvals; Technological advancements,University of Wisconsin-Madison; Madison College,8.699,9.0,12.0,5.0,3,0.0,2022-10-31T08:00:00Z
Mercury Systems Inc,MRCY,Innovation That Matters,800000000.0,2000,To deliver innovative solutions for a safer and more secure world.,Andover,Andover,Mark Aslett,Mark Aslett (President and CEO); Chris Cambria (CFO),Innovation; Security; Quality,Research & Development; Product Innovation,Continuous improvement through cutting-edge technology,Advanced Electronics; Secure Processing Solutions,Defense; Aerospace; Critical Infrastructure,Stable market demand; Continued technological advancement,Government contracts; Industry partnerships,STEM Scholarships; Research Grants,8.9031,9.0,0.1,0.05,3,25.0,2022-10-31T08:00:00Z
"Broadstone Net Lease, Inc.",BNL,Building Wealth Through Real Estate,1000000000,500,"To provide investors with stable and growing income through long-term, net leased real estate investments.",Rochester,Rochester,Chris Czarnecki,Chris Czarnecki (CEO); Amy Tait (President),Integrity; Innovation; Excellence,Market Research; Feasibility Studies,Exploring new opportunities in the industrial real estate sector.,Sustainability Initiatives; Technology Integration,Net Lease Investments; Real Estate Portfolio Management,Stable economic conditions; Consistent rental income,Real estate market trends; Interest rates,University of Rochester; Rochester Institute of Technology,9.0,9.5,12.0,5.0,3,0.0,2022-10-31T12:00:00Z
United States Lime & Minerals Inc,USLM,Building a Sustainable Future,8.5,300,To provide high-quality lime and limestone products while maintaining a commitment to environmental sustainability.,Dallas,Dallas,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Quality,Research & Development; Market Analysis,Exploring new eco-friendly mining techniques,Water Conservation Initiative; Community Outreach Program,Environmental Sustainability; Product Quality Enhancement,Stable market demand for lime products; Availability of raw materials,Government regulations on mining operations; Market trends in construction industry,Scholarship programs for geology students; Research grants for environmental studies,0.9294,1.6989,5.0,12.0,3,120.5,2023-10-26T08:30:00Z
Manchester United Plc,MANU,We are United,$627 million,900,"To be the best football club in the world, on and off the pitch.",Old Trafford,Manchester,Richard Arnold,Richard Arnold (Group Managing Director); Ed Woodward (Executive Vice Chairman),Excellence; Teamwork; Innovation,Youth Development; Fan Engagement,Exploring new revenue streams through digital platforms,Community Outreach Programs; Sustainability Initiatives,Sports Performance; Brand Development; Fan Experience,Continued fan loyalty; Stable economic conditions,Performance in football competitions; Global market trends,Manchester University Sports Scholarship Fund; Youth Football Academies,8.7973,9.4565,6.2,3.5,2,0.0,2023-10-26T08:30:00Z
