company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Dte Energy Co,DTE,Empowering a Brighter Future,13.5,10000,"To provide safe, reliable, and sustainable energy solutions for our customers and communities.",Detroit,Detroit,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Service,Renewable Energy; Smart Grid Technology,Exploring new ways to increase energy efficiency and reduce carbon footprint.,Solar Energy Integration; Electric Vehicle Charging Infrastructure,Sustainability; Customer Satisfaction; Innovation,Stable regulatory environment; Growing demand for clean energy,Government policies; Technological advancements,University of Michigan; Michigan State University,1.13,1.5,8.0,12.0,3,0.0,2022-10-31T08:00:00Z
International Paper Co /New/,IP,The Future of Packaging,23000000000,52000,To improve people's lives through sustainable packaging solutions.,Memphis,Memphis,Mark S. Sutton,Mark S. Sutton (Chairman and CEO); Timothy S. Nicholls (CFO),Sustainability; Innovation; Customer-centricity,Research & Development; Market Analysis,Developing eco-friendly packaging solutions for e-commerce industry.,Recyclable Packaging Initiative; Supply Chain Optimization,Sustainable Packaging; Operational Efficiency; Customer Experience,Increasing demand for eco-friendly packaging; Stable raw material prices,Government regulations on recycling; Global economic conditions,Scholarship programs for STEM students; Research grants for sustainable packaging innovations,10.362,10.699,8.0,12.0,3,0.0,2023-10-26T08:30:00Z
Vodafone Group Public Ltd Co,VOD,Connecting for a better future,10.5,105000,To connect the world for a better future through innovative communication solutions.,London,London,Nick Read,Nick Read (CEO); Margherita Della Valle (CFO),Innovation; Connectivity; Sustainability,5G Technology; IoT Solutions,Exploring AI integration in network optimization.,Smart City Solutions; Digital Transformation,Telecommunications; Digital Services; Network Infrastructure,Stable economic conditions; Growing demand for data services,Regulatory approvals; Technological advancements,STEM Education Programs; Research Grants,10.5,11.2,8.5,12.3,3,0.0,2023-10-26T08:30:00Z
"Cheniere Energy Partners, L.P.",CEP,Leading the way in energy solutions,9.2,1200,To provide reliable and sustainable energy solutions for a better future,Houston,Houston,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Integrity,Renewable Energy; Energy Efficiency,Exploring new technologies for clean energy production,Solar Power Expansion; Wind Energy Integration,Energy Infrastructure; Environmental Impact,Stable energy market; Government support for clean energy initiatives,Regulatory approvals; Investor funding,Scholarship programs; Research grants,9.2,10.5,0.08,12.5,3,150.5,2023-10-31T08:00:00Z
"Pinterest, Inc.",PINS,"Discover recipes, home ideas, style inspiration and other ideas to try.",1000000000,2000,To bring everyone the inspiration to create a life they love.,San Francisco,San Francisco,Ben Silbermann,Ben Silbermann (CEO); Evan Sharp (Co-Founder & Chief Design and Creative Officer),Creativity; Inspiration; Community,User Growth; Product Development; Monetization Strategy,Encouraging creativity and idea sharing through visual discovery.,Diversity and Inclusion Initiatives; Sustainability Programs,User Engagement; Content Discovery; Ad Tech,Continued user growth; Increased advertising revenue,Technology infrastructure upgrades; Market trends,STEM Education Programs; Arts and Design Scholarships,9.0,10.5,0.15,0.05,3,0.0,2023-10-31T08:00:00Z
"Cboe Global Markets, Inc.",CBOE,Powering Potential,10000000000,1000,To provide cutting-edge trading and investment solutions globally.,Chicago,Chicago,Edward T. Tilly,Edward T. Tilly (CEO); Brian N. Schell (CFO),Innovation; Integrity; Excellence,Blockchain Technology; AI in Trading,Exploring decentralized finance opportunities,Market Data Analysis Platform; Algorithmic Trading System,Derivatives Trading; Market Regulation; Risk Management,Stable market conditions; Regulatory compliance,Market volatility; Technological advancements,Scholarship Programs; Research Grants,10.0,11.0,0.15,0.08,3,0.0,2023-10-26T08:30:00Z
On Semiconductor Corp,ON,Powering Innovation,2.5,35000,To provide innovative energy-efficient solutions for a sustainable future.,Phoenix,Phoenix,Keith D. Jackson,Keith D. Jackson (CEO); Hassane El-Khoury (President and CEO),Innovation; Sustainability; Efficiency,Research and Development; Product Innovation,Exploring new semiconductor technologies for future applications.,Advanced Power Management; Automotive Electronics,Power Management; Automotive Electronics; Industrial Solutions,Stable market demand for semiconductor products; Continued technological advancements,Global supply chain; Regulatory compliance,STEM Education Programs; Research Grants,0.3979,1.6989,8.0,12.0,4,5.5,2022-10-31T08:00:00Z
Nidec Corp,NJDCY,Bringing Tomorrow's Technologies to Life,10.5,110000,To create innovative solutions that enhance the quality of life globally.,Kyoto,Kyoto,Shigenobu Nagamori,Shigenobu Nagamori (Founder & CEO); Mikio Katayama (President & COO),Innovation; Quality; Sustainability,Research & Development; Market Analysis,Exploring cutting-edge technologies for future growth,AI Integration; IoT Solutions,Electronics; Automotive; Industrial Automation,Stable economic conditions; Industry growth trends,Global supply chain; Technological advancements,Scholarship programs; Research grants,10.5,11.2,8.5,12.3,4,600.5,2023-10-31T08:00:00Z
Ke Holdings Inc.,BEKE,Empowering the Future of Real Estate,9.5,100000,To revolutionize the real estate industry through innovation and technology.,Beijing,Beijing,Xu Yong,Xu Yong (CEO); Lu Peng (CFO),Innovation; Customer-Centricity; Efficiency,AI Integration; Market Expansion,Exploring blockchain technology for property transactions.,Smart Home Solutions; Data Analytics Platform,Technology Integration; Customer Experience Enhancement,Stable Real Estate Market; Continued Technological Advancements,Government Regulations; Market Trends,Real Estate Research Center at Tsinghua University; Scholarship Program at Peking University,9.5,10.2,0.08,0.15,3,0.0,2023-10-26T08:30:00Z
"Netapp, Inc.",NTAP,Empowering organizations to unleash the full potential of their data,6000000000.0,10000,"To help customers achieve success by providing innovative, efficient, and cost-effective data management solutions.",Sunnyvale,Sunnyvale,George Kurian,George Kurian (CEO); Mike Berry (CFO),Innovation; Customer Success; Data Security,Cloud Storage Solutions; Data Protection Technologies,Developing AI-driven data management tools for enterprises,Data Fabric Implementation; Hybrid Cloud Integration,Data Management; Cloud Services; Storage Solutions,Increasing demand for data storage solutions; Growing adoption of cloud technologies,Technological advancements; Market trends,Scholarship programs for STEM students; Research grants for data management studies,9.7782,10.0,0.15,0.08,3,5.0,2022-01-31T08:00:00Z
Aercap Holdings N.V.,AER,Global Leader in Aircraft Leasing,5000000000,500,To provide innovative and efficient aircraft leasing solutions globally.,Dublin,Dublin,Aengus Kelly,Aengus Kelly (CEO); Philip Scruggs (President and Chief Commercial Officer),Innovation; Efficiency; Global Reach,Market Research; Product Development,Exploring new leasing models for electric aircraft.,Digital Transformation; Sustainability Initiatives,Aircraft Leasing; Innovation; Global Expansion,Stable economic conditions; Growing demand for air travel,Regulatory approvals; Market trends,Aviation Programs; STEM Scholarships,9.699,10.4771,12.0,8.0,3,345.67,2022-10-31T08:00:00Z
Nomura Holdings Inc,NMR,Connecting Markets East & West,20000000000,28000,"To deliver value to clients through a combination of research, content, analytics and execution across Asia, Europe and the Americas.",Tokyo,Tokyo,Kentaro Okuda,Kentaro Okuda (CEO); Takumi Shibata (CFO),Innovation; Integrity; Global Perspective,Fintech Solutions; Market Research,Exploring new investment opportunities in emerging markets,Digital Transformation; Risk Management,Investment Banking; Asset Management; Wealth Management,Stable global economic conditions; Regulatory compliance,Market volatility; Technological advancements,Scholarship programs; Research grants,10.301,10.4771,0.12,5.6,4,6800.0,2023-10-26T08:30:00Z
Steel Dynamics Inc,STLD,Building the Future with Steel,10000000000,9000,To be the industry leader in steel production through innovation and sustainability.,Fort Wayne,Fort Wayne,John Smith,John Smith (CEO); Jane Doe (CFO),Innovation; Sustainability; Quality,Research & Development; Market Analysis,Exploring new steel production techniques,Green Steel Initiative; Supply Chain Optimization,Sustainability; Innovation; Quality Control,Stable steel market; Continued demand for steel products,Raw material suppliers; Market trends,Scholarship programs; Research grants,10.0,11.5,8.2,12.5,3,120.5,2023-10-31T08:00:00Z
Insmed Inc,INSM,Transforming the lives of patients with serious and rare diseases,8.2,500,Dedicated to developing innovative therapies for patients in need,Bridgewater,Bridgewater,Will Lewis,Will Lewis (CEO); Roger Adsett (CFO),Innovation; Patient-centricity; Excellence,Research & Development; Clinical Trials,Developing novel therapies for unmet medical needs,Rare Lung Disease Treatment; Cystic Fibrosis Therapy,Rare Diseases; Pulmonology; Endocrinology,Continued regulatory approvals; Market demand for rare disease treatments,Research partnerships; Clinical trial outcomes,Medical Research Grants; Scholarship Programs,0.9138,1.1461,12.0,3.5,7,25.0,2022-10-31T08:00:00Z
"First Solar, Inc.",FSLR,Powering the World Responsibly,2000000000,6000,To create sustainable energy solutions to power a clean and prosperous future.,Tempe,Tempe,Mark Widmar,Mark Widmar (CEO); Alex Bradley (CFO),Sustainability; Innovation; Responsibility,Research & Development; Market Analysis,Developing advanced solar technologies for increased efficiency.,Solar Panel Optimization; Grid Integration Solutions,Renewable Energy; Sustainability Practices,Stable government policies supporting renewable energy; Growing global demand for clean energy,Access to raw materials; Technological advancements in solar energy,Scholarship Programs; Research Grants,9.301,10.4771,12.0,8.0,3,10.5,2023-10-20T08:00:00Z
"Guidewire Software, Inc.",GWRE,"The platform P&C insurers trust to engage, innovate, and grow efficiently",0.9,2200,To deliver the software that P&C insurers need to adapt and succeed in a rapidly changing industry,Foster City,Foster City,Mike Rosenbaum,Mike Rosenbaum (CEO); Curtis Smith (CFO),Innovation; Customer-centricity; Efficiency,Digital transformation; Data analytics,Exploring AI integration for claims processing,Blockchain implementation for policy management; IoT integration for risk assessment,Insurtech; Customer experience; Risk management,Increasing demand for personalized insurance solutions; Regulatory environment favoring digitalization,Integration with legacy systems; Data security compliance,Scholarship programs for STEM students; Research grants for AI in insurance,0.9542,1.4771,8.0,5.2,3,0.0,2022-10-31T08:00:00Z
United Microelectronics Corp,UMC,Innovating the Future,3.5,20000,To provide advanced semiconductor solutions for a connected world.,Hsinchu Science Park,Hsinchu,Jason Wang,Jason Wang (CEO); Chitung Liu (CFO),Innovation; Quality; Sustainability,Research & Development; Market Analysis,Exploring new semiconductor technologies for IoT applications.,Advanced Chip Design; Manufacturing Optimization,Semiconductor Manufacturing; Technology Innovation,Stable global semiconductor market; Continued demand for advanced chips,Supply chain partnerships; Technological advancements,Scholarship programs; Research grants,9.5441,10.1761,12.0,8.0,3,0.0,2022-01-28T08:00:00Z
Credicorp Ltd,BAP,Empowering Financial Growth,9.2,31000,To provide innovative financial solutions for sustainable growth,Lima,Lima,Walter Bayly Llona,Walter Bayly Llona (CEO); Alvaro Correa Malachowski (CFO),Integrity; Innovation; Customer-Centricity,Fintech; Digital Transformation,Exploring AI-driven customer service solutions,Blockchain Integration; Data Analytics Platform,Retail Banking; Asset Management; Insurance Services,Stable economic conditions; Regulatory compliance,Technological infrastructure; Market trends,Scholarship Programs; Research Grants,0.9638,1.1761,8.5,12.3,2,0.0,2023-10-26T08:30:15Z
Telefonica Brasil S.A.,VIV,Connecting People,10.5,34000,To connect people through innovative telecommunications solutions.,Sao Paulo,Sao Paulo,Roberto Garcia,Roberto Garcia (CEO); Maria Silva (CFO),Innovation; Customer Satisfaction; Sustainability,5G Technology; IoT Solutions,Exploring AI integration in customer service.,Smart Cities Initiative; Digital Inclusion Program,Telecommunications Infrastructure; Digital Transformation; Customer Experience,Stable economic conditions; Technological advancements,Government regulations; Market competition,Telecommunications Research Center at University X; Scholarship Program at University Y,10.5,11.2,8.5,12.3,4,590.5,2023-10-31T08:00:00Z
