company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Pyxis Tankers Inc.,PXS,Delivering Excellence in Tanker Shipping,8.2,50,To provide efficient and reliable tanker shipping services globally.,Maroussi,Athens,Sophocles Zoullas,Sophocles Zoullas (CEO); Henry Williams (CFO),Innovation; Sustainability; Customer Satisfaction,Market Research; Technology Development,Exploring new routes for optimized shipping efficiency.,Fuel Efficiency Optimization; Crew Training Programs,Operational Excellence; Customer Service; Sustainability Practices,Stable Oil Prices; Global Trade Growth,Market Demand; Regulatory Compliance,Maritime Universities; Sustainability Research Centers,0.9138,1.0414,8.5,3.2,7,0.0,2023-10-26T08:30:15Z
Ebang International Holdings Inc.,EBON,Empowering a new era of blockchain technology,8.5,500,To revolutionize the blockchain industry through innovation and transparency,Hangzhou,Hangzhou,Dong Hu,Dong Hu (CEO); Chunping Liu (CFO),Innovation; Transparency; Efficiency,Blockchain hardware development; Cryptocurrency mining solutions,Exploring decentralized finance applications,Blockchain research and development; Cryptocurrency exchange platform,Blockchain technology; Cryptocurrency mining; Decentralized finance,Growing demand for blockchain solutions; Competitive cryptocurrency market,Regulatory environment; Technological advancements,Scholarship programs; Research grants,0.9294,1.1761,12.0,5.3,4,0.0,2023-10-26T08:30:00Z
"Creative Realities, Inc.",CRE,Innovating Experiences,8.5,200,To revolutionize customer experiences through creative technology solutions.,Louisville,Louisville,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer-centricity; Collaboration,Augmented Reality; Virtual Reality,Exploring new ways to enhance retail experiences using AR technology.,Digital Signage Upgrade; Interactive Kiosks Implementation,Retail Technology; Experiential Marketing,Increasing demand for immersive customer experiences; Growing adoption of AR/VR in retail,Technology partnerships; Market trends,STEM Scholarships; Tech Innovation Grants,0.93,1.2,8.0,5.2,3,12.5,2023-10-26T08:30:00Z
Data I/O Corp,DAIO,Enabling the Future of Electronics,25000000,200,Empowering innovation through advanced programming solutions.,Redmond,Redmond,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Product Innovation,Continuous improvement in programming technologies.,Automated Programming; Secure Provisioning,Electronics Programming; Data Security; Automation,Stable market demand for programming solutions; Continuous technological advancements,Supply chain for electronic components; Market trends in electronics industry,STEM Scholarships; Technology Research Grants,7.3979,8.699,12.0,5.0,3,15.5,2022-10-31T08:00:00Z
"Marathon Bancorp, Inc. /Md/",MBI,,1000000000,500,To provide exceptional financial services to our customers while maintaining a strong commitment to community development.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven customer service solutions,Blockchain Integration; Data Analytics Platform Development,Technology Innovation; Customer Satisfaction; Community Engagement,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,Scholarship programs; Research grants,9.0,8.5,12.0,5.0,3,10.5,2022-10-31T08:00:00Z
Greenidge Generation Holdings Inc.,GGH,Powering the Future with Sustainable Energy,8.5,300,To provide clean and reliable energy solutions for a sustainable future.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Energy Efficiency,Exploring new solar energy projects in rural areas,Wind Farm Expansion; Smart Grid Implementation,Renewable Energy; Energy Storage; Grid Modernization,Stable government policies; Increasing demand for clean energy,Regulatory approvals; Access to funding,Green Energy Research Grants; STEM Scholarships,0.9294,1.1761,12.0,5.3,4,225.5,2023-10-31T08:00:00Z
"Spar Group, Inc.",SGRP,"Empowering Retailers, Enriching Brands",8.5,5000,To drive sales for our clients through innovative retail merchandising solutions.,White Plains,White Plains,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Customer Satisfaction; Efficiency,Market Research; Product Development,Exploring new retail technologies to enhance customer experience.,Digital Transformation; Supply Chain Optimization,Retail Merchandising; Brand Activation; Sales Growth,Stable economic conditions; Competitive market landscape,Client partnerships; Technology infrastructure,Scholarship Programs; Research Grants,0.9294,1.1761,5.0,8.0,3,20.5,2023-10-31T08:00:00Z
Coffee Holding Co Inc,JVA,Fueling Your Daily Grind,7.5,150,To provide high-quality coffee products to fuel our customers' daily routines.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Quality; Customer Satisfaction; Innovation,Product Development; Market Research,Exploring new coffee blends and packaging designs.,Sustainability Initiatives; Supply Chain Optimization,Product Quality; Customer Experience; Market Expansion,Stable Coffee Market; Consistent Consumer Demand,Raw Material Suppliers; Distribution Partners,Local Coffee Farming Programs; Barista Training Scholarships,0.8751,1.699,4.0,12.0,3,5.5,2023-10-26T08:30:15Z
"Hudson Global, Inc.",HGLO,Empowering Global Connections,8.5,1200,To connect businesses and talent worldwide for mutual success.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Diversity; Excellence,Market Research; Product Development,Continuous improvement through customer feedback,Digital Transformation; Data Analytics,Technology; Global Expansion; Customer Experience,Stable economic conditions; Industry growth trends,Technological infrastructure; Skilled workforce,Scholarship Programs; Research Grants,0.9294,1.1761,12.0,8.5,3,5.7,2023-10-26T08:30:15Z
"Aytu Biopharma, Inc",AYTU,Innovating for Better Health,7.5,100,To improve patient outcomes through innovative biopharmaceutical solutions.,Englewood,Englewood,Josh Disbrow,Josh Disbrow (CEO); Jared Aya (CFO),Innovation; Patient-Centricity; Excellence,Drug Development; Clinical Trials; Regulatory Approval,Developing novel therapies for unmet medical needs,Oncology Research; Infectious Disease Treatment,Precision Medicine; Rare Diseases; Personalized Therapies,Strong R&D capabilities; Growing market demand for biopharmaceuticals,Regulatory Approvals; Clinical Trial Success,Scholarship Programs; Research Grants,0.8751,1.1461,0.15,2.5,8,7.5,2023-10-26T08:30:45Z
