company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
"Waterstone Financial, Inc.",WFI,Empowering Financial Growth,8.5,500,To provide innovative financial solutions for sustainable growth.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Fintech Solutions; Digital Banking,Exploring AI-driven investment tools,Blockchain Integration; Mobile Payment Solutions,Financial Inclusion; Risk Management,Stable economic conditions; Regulatory compliance,Technological infrastructure; Market trends,Scholarship Programs; Research Grants,0.9294,1.6989,12.0,8.5,3,5.7,2023-10-26T08:30:00Z
Quanterix Corp,QTRX,Pushing the limits of science to enable a new generation of diagnostics,75000000,300,To develop innovative technology that advances precision health for life sciences research and diagnostics,Billings,Billings,Kevin Hrusovsky,Kevin Hrusovsky (CEO); Amol Chaubal (CFO),Innovation; Precision; Health,Biomarker discovery; Diagnostics development,Developing novel assays for early disease detection,Alzheimer's research; Cancer diagnostics,Precision health; Life sciences research; Diagnostics,Growing demand for advanced diagnostic tools; Continuous technological advancements,Regulatory approvals; Research collaborations,Research grants; Scholarship programs,7.8751,8.5,0.12,0.03,5,0.0,2023-10-26T08:30:15Z
Strattec Security Corp,STRT,Securing Your Future,200000000.0,2500,To provide innovative security solutions for a safer world.,Milwaukee,Milwaukee,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Security; Quality,Research & Development; Market Analysis,Developing next-generation security systems,Smart Lock Technology; Biometric Access Control,Home Security; Vehicle Security; Access Control Systems,Growing demand for security solutions; Technological advancements in the industry,Supply chain management; Regulatory compliance,Local Technical College; National Security Research Institute,8.301,9.0,12.0,5.0,3,90.5,2023-10-26T08:00:00Z
Timberland Bancorp Inc,TBCP,Building a Strong Financial Future,8.5,500,Empowering communities through financial stability and growth,Olympia,Olympia,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Community Engagement,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Optimization,Sustainable Growth Strategies; Risk Management,Stable Economic Conditions; Regulatory Compliance,Technological Infrastructure; Market Trends,Scholarship Programs; Research Grants,0.9294,1.6989,12.0,5.3,4,55.6,2022-10-31T08:00:00Z
Chemung Financial Corp,CHMG,Building Stronger Communities Together,1000000000,1000,Empowering financial success through community partnership and innovation,Elmira,Elmira,John Doe,John Doe (CEO); Jane Smith (CFO),Integrity; Innovation; Community Engagement,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Optimization,Sustainable Growth Strategies; Risk Management Excellence,Stable Economic Conditions; Regulatory Compliance,Technological Infrastructure; Market Trends,Scholarship Programs; Research Grants,9.0,8.5,12.0,5.0,3,200.5,2023-10-31T08:00:00Z
Optimizerx Corp,OPRX,"Connecting providers, patients, and payers",80000000,300,To streamline communication in healthcare for better outcomes,Rochester,Rochester,William Febbo,William Febbo (CEO); Doug Baker (CFO),Innovation; Efficiency; Patient-Centricity,Telehealth Solutions; Healthcare Communication Platforms,Developing AI-driven tools for personalized patient engagement,EHR Integration; Patient Assistance Programs,Healthcare Technology; Digital Health Solutions,Increasing adoption of digital healthcare platforms,Regulatory Approvals; Partnerships with Healthcare Providers,Medical Research Grants; Healthcare Scholarships,7.9031,8.301,12.0,5.0,3,0.0,2023-10-26T08:30:45Z
"Coastalsouth Bancshares, Inc.",CSBI,Empowering Financial Growth,8.5,1200,To provide innovative financial solutions for our community's prosperity.,Charleston,Charleston,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Community Engagement,Digital Transformation; Customer Experience Enhancement,Implementing AI-driven chatbots for customer service,Blockchain Integration; Data Analytics Platform Development,Fintech Solutions; Customer Relationship Management,Stable Economic Conditions; Regulatory Compliance,Technology Infrastructure Upgrades; Market Trends,Local University Scholarships; Financial Literacy Programs,0.9294,1.1761,8.0,12.5,3,0.0,2023-10-26T08:30:00Z
Greentree Hospitality Group Ltd.,UNKNOWN,UNKNOWN,9.5,10000,UNKNOWN,Unknown,Unknown,Unknown,Unknown (Unknown),,,Unknown,,,,,,9.5,0.0,0.0,0.0,0,0.0,2023-10-26T08:00:00Z
Stealthgas Inc.,GASS,Leading provider of international energy transportation services,8.5,300,To deliver efficient and reliable energy transportation solutions globally,Athens,Athens,Michael Jolliffe,Michael Jolliffe (CEO); Harry Vafias (COO),Innovation; Sustainability; Customer Satisfaction,Market Research; Technology Development,Exploring new routes for energy transportation,Fuel Efficiency Optimization; Route Optimization,Energy Transportation; Logistics; Maritime Industry,Stable fuel prices; Growing global energy demand,Global economic conditions; Regulatory approvals,Maritime Universities; Energy Management Programs,0.9294,1.1761,5.0,8.0,3,0.0,2023-10-26T08:30:15Z
Berry Corp,bry,,9.5,1000,To provide innovative solutions for a sustainable future.,Los Angeles,Los Angeles,,John Doe (CEO); Jane Smith (CFO),Innovation; Sustainability; Customer Satisfaction,Research & Development; Market Analysis,Exploring new markets for expansion.,Renewable Energy Solutions; Green Technology Development,Sustainability; Innovation; Customer Service,Stable market conditions; Competitive workforce,Government regulations; Economic trends,"University of California, Los Angeles; Stanford University",9.5,10.2,12.3,8.5,3,10.5,2022-01-28T08:00:00Z
Nuveen Amt-Free Municipal Value Fund,,,0.0,,,Unknown,,,,,,,,,,,,0.0,0.0,,,,,2023-10-26T08:00:00Z
Pure Cycle Corp,PCYO,Providing sustainable water solutions,10000000,50,To provide sustainable water solutions for communities worldwide,Denver,Denver,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community,Water purification technology; Community outreach programs,Developing a new water recycling system for urban areas,Water conservation initiative; Water quality improvement program,Water management; Sustainability practices; Community engagement,Increasing demand for sustainable water solutions; Regulatory support for water conservation,Government funding for water projects; Technological advancements in water purification,Water research grants; Scholarships for environmental studies,7.0,8.5,12.0,5.0,3,150.5,2022-10-31T08:00:00Z
