company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
"Polar Power, Inc.",PPR,Empowering the Future,8.5,500,To provide reliable and sustainable power solutions for a better tomorrow.,Los Angeles,Los Angeles,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Customer-centric,Renewable Energy; Energy Storage,Developing advanced battery technology for off-grid applications.,Solar Microgrids; Wind Energy Storage,Off-grid Power Solutions; Energy Efficiency,Growing demand for renewable energy solutions; Stable regulatory environment,Availability of raw materials; Technological advancements,STEM Scholarships; Research Grants,9.93,10.5,12.0,8.5,3,10.2,2023-10-31T08:00:00Z
"New Concept Energy, Inc.",NCEI,Innovating Energy Solutions,6.5,50,To revolutionize the energy sector through innovative concepts and sustainable practices.,Dallas,Dallas,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Efficiency,Renewable Energy; Energy Storage,Developing cutting-edge solutions for clean energy production and storage.,Solar Farm Expansion; Battery Technology Research,Renewable Energy; Energy Efficiency; Sustainable Practices,Stable market demand for renewable energy solutions; Access to funding for research and development,Government regulations on energy production; Technological advancements in the energy sector,University of Texas Energy Research Center; Stanford Renewable Energy Program,6.5,7.2,12.5,3.8,15,120.5,2023-10-31T08:00:00Z
Avalon Globocare Corp.,NASDAQ: AVCO,Innovating Cell Technologies for Better Healthcare,8.5,300,To advance cellular therapeutics for better patient outcomes.,Freehold,Freehold,"David Jin, M.D., Ph.D.","David Jin, M.D., Ph.D. (Founder, President & CEO); Luisa Ingargiola (CFO)",Innovation; Excellence; Patient-Centricity,Cell Therapy; Regenerative Medicine,Developing novel cell-based therapies for unmet medical needs.,CAR-T Therapy; Stem Cell Research,Precision Medicine; Immunotherapy; Biotechnology,Growing demand for personalized medicine; Regulatory approvals for cell therapies,Research collaborations; Clinical trial outcomes,Supporting stem cell research programs; Funding medical scholarships,0.9294,1.1761,12.0,3.5,7,0.0,2023-10-26T08:30:45Z
"Borqs Technologies, Inc.",N/A,Empowering Connectivity,$100 million,500,To enable intelligent connected devices through innovative technology solutions.,Sunnyvale,Sunnyvale,Patrick Chan,Patrick Chan (CEO); George Thangadurai (CFO),Innovation; Quality; Customer Satisfaction,IoT Solutions; Mobile Devices,Developing cutting-edge IoT solutions for smart cities.,Smart Wearables; Connected Vehicles,IoT; Mobile Solutions; AI Integration,Growing demand for IoT devices; Technological advancements in connectivity,Partnerships with telecom providers; Regulatory approvals for new products,STEM Education Programs; Research Grants,8.0,9.5,12.5,5.2,3,2.5,2022-10-31T08:00:00Z
Lithium Corp,,,1000000000,5000,To revolutionize energy storage solutions for a sustainable future.,San Francisco,San Francisco,,John Doe (CEO); Jane Smith (CFO),Innovation; Sustainability; Efficiency,Research & Development; Market Analysis,Developing next-generation lithium-ion batteries for electric vehicles.,Battery Recycling Program; Energy Storage Pilot,Clean Energy; Advanced Materials; Electric Vehicles,Growing demand for electric vehicles; Advancements in battery technology,Government regulations; Market trends,"University of California, Berkeley; Stanford University",9.0,10.5,0.15,12.5,3,0.0,2023-10-26T08:00:00Z
"Ontrak, Inc.",OTRK,Empowering individuals to live healthier lives.,1000000000,500,To improve the health and quality of life of individuals through innovative behavioral health solutions.,Los Angeles,Los Angeles,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Empathy; Quality,Behavioral Health; Digital Health,Developing a mobile app for mental health tracking and support.,Telehealth Platform Enhancement; Behavioral Health Coaching Program,Telemedicine; Behavioral Analytics; Patient Engagement,Increasing demand for remote healthcare services; Growing awareness of mental health importance,Regulatory approvals; Technological advancements,Mental Health Research Fund; Healthcare Innovation Scholarship,9.0,9.5,12.0,8.0,3,10.5,2022-10-31T08:00:00Z
Cemtrex Inc,CETX,Innovative Technology Solutions,50000000,300,To provide cutting-edge technology solutions for a sustainable future,Long Island City,Long Island City,Saagar Govil,Saagar Govil (CEO); Renato Delatorre (CFO),Innovation; Sustainability; Efficiency,IoT; Clean Energy; Automation,Developing smart devices for industrial applications,Smart Air Quality Monitor; Automated Inventory Management System,Environmental Technology; Industrial Automation; Electronics Manufacturing,Growing demand for IoT solutions; Increasing focus on sustainability,Availability of skilled workforce; Market acceptance of new technologies,STEM Scholarships; Research Grants for Technology Programs,7.699,8.4771,12.0,5.0,3,10.5,2023-10-26T08:30:45Z
"Royale Energy, Inc.",REI,Empowering Energy Solutions,8.5,150,To provide sustainable energy solutions for a better future.,San Diego,San Diego,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Customer Satisfaction,Renewable Energy; Energy Efficiency,Exploring new solar energy projects in rural areas.,Wind Farm Expansion; Smart Grid Implementation,Renewable Energy; Energy Management; Sustainable Practices,Stable government policies; Increasing demand for clean energy,Technological advancements; Market trends,"University of California, San Diego; Stanford University",0.9294,1.301,12.0,5.3,8,112.5,2023-10-31T08:00:00Z
"Luvu Brands, Inc.",LUVU,Bringing Love to Brands,8.5,250,To spread love and positivity through innovative branding solutions.,Atlanta,Atlanta,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Social Responsibility,Market Research; Product Development,Exploring new branding strategies to enhance customer engagement.,Digital Marketing Campaign; Brand Revamp Initiative,Brand Identity; Customer Experience Enhancement; Market Expansion,Stable economic conditions; Competitive pricing strategy,Technological advancements; Supplier relationships,Scholarship Programs; Research Grants,0.9294,1.1761,12.0,8.0,3,10.5,2023-10-31T08:00:00Z
"Gold Rock Holdings, Inc.",GOLD,Shaping the Future with Gold Standards,8.5,500,To revolutionize industries through innovation and sustainability.,San Francisco,San Francisco,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,Renewable Energy; Blockchain Technology,Exploring AI integration in supply chain management.,Smart Cities Initiative; Green Energy Solutions,Technology; Sustainability; Innovation,Market demand for renewable energy will continue to rise.,Government regulations on carbon emissions,Scholarship programs; Research grants,0.9294,1.301,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
"Novabay Pharmaceuticals, Inc.",NBY,Innovative Solutions for a Healthier Tomorrow,7.5,100,To develop and commercialize non-antibiotic products to address the unmet therapeutic needs in the global anti-infective market.,Emeryville,Emeryville,Ron Najafi,Ron Najafi (CEO); Justin Hall (CFO),Innovation; Quality; Health,Research; Development; Innovation,Continuous development of non-antibiotic products for anti-infective market,Avenova; NeutroPhase,Anti-infective Solutions; Non-antibiotic Products; Healthcare Innovation,Growing demand for non-antibiotic solutions; Competitive market landscape,Regulatory approvals; Research and Development funding,Medical Research Grants; Healthcare Scholarships,0.8751,1.699,8.0,2.5,15,0.0,2023-10-26T08:30:45Z
"Enveric Biosciences, Inc.",Unknown,Empowering patients with innovative biosciences,8.5,150,To improve patient outcomes through cutting-edge bioscience solutions,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Patient-centricity; Quality,Cancer Research; Pain Management,Developing novel therapies for unmet medical needs,Precision Medicine Initiative; Bioscience Innovation Program,Oncology; Neurology; Pain Management,Growing demand for personalized medicine; Regulatory approvals for new therapies,Research partnerships with academic institutions; Funding for clinical trials,Donations to Medical Research Institute; Scholarship Fund for Bioscience Students,0.9294,1.1761,12.0,5.3,8,2.5,2023-10-31T08:00:00Z
"Mitesco, Inc.",MITI,Innovating Healthcare Solutions,8.5,500,To revolutionize healthcare delivery through innovative solutions.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Quality; Innovation; Customer-Centric,Telemedicine; HealthTech Solutions,Developing AI-driven healthcare platforms,Remote Patient Monitoring; Health Data Analytics,Digital Health; Telehealth; Healthcare Technology,Increasing demand for telemedicine services; Growing adoption of digital health solutions,Regulatory approvals; Technological advancements,Medical Research Grants; Healthcare Scholarships,0.9294,1.6989,12.0,5.3,7,2.5,2023-10-31T08:00:00Z
Trans Lux Corp,TLX,Illuminate Your World,8.5,1000,Enhancing lives through innovative lighting solutions,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Market Analysis,Exploring smart lighting technologies,LED Retrofitting; Energy Efficiency Solutions,Commercial Lighting; Smart Home Solutions,Growing demand for energy-efficient lighting,Technological advancements; Regulatory environment,STEM Scholarships; Research Grants,0.9294,1.1761,12.0,8.0,3,5.5,2023-10-26T08:30:00Z
Universe Pharmaceuticals Inc,UPH,Innovating Healthcare Solutions,8.5,1200,To improve global health through innovative pharmaceutical solutions.,San Francisco,San Francisco,Alice Johnson,Alice Johnson (CEO); Michael Lee (CFO),Innovation; Quality; Customer-Centricity,Drug Discovery; Clinical Trials,Developing novel treatments for rare diseases,Precision Medicine; Biopharmaceuticals,Research & Development; Regulatory Compliance,Stable market demand; Favorable regulatory environment,Access to funding; Skilled workforce,Medical Research Grants; Scholarship Programs,0.9294,1.1761,12.0,5.3,4,0.0,2023-10-26T08:30:45Z
"Remark Holdings, Inc.",MARK,Empowering businesses with AI-driven solutions,8.5,300,To revolutionize industries through innovative AI technologies,Las Vegas,Las Vegas,Kai-Shing Tao,Kai-Shing Tao (CEO); Mike Bartels (CFO),Innovation; Excellence; Customer-Centricity,Retail Analytics; Smart Cities,Developing AI-powered solutions for personalized customer experiences,AI-driven Marketing Campaigns; Predictive Maintenance Solutions,Artificial Intelligence; Big Data Analytics; IoT Solutions,Growing demand for AI technologies; Competitive market landscape,Access to high-quality data sets; Technological advancements,STEM Scholarships; Research Grants,0.9294,1.6989,12.0,5.3,7,2.5,2023-10-31T08:00:00Z
