company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Valley National Bancorp,VLY,"Strength, Stability, Service",1.2,2200,To provide innovative financial solutions with a focus on customer satisfaction and community development.,Wayne,Wayne,Ira Robbins,Ira Robbins (CEO); Thomas Iadanza (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized banking solutions,Blockchain Integration; Data Analytics Optimization,Retail Banking; Commercial Lending; Wealth Management,Stable economic conditions; Regulatory compliance,Technology infrastructure upgrades; Market trends,Scholarship Programs; Financial Literacy Initiatives,0.0792,0.4771,8.0,2.5,4,15.5,2023-10-26T08:30:00Z
Sps Commerce Inc,SPSC,"Empowering Retailers, Suppliers, and Logistics Providers",3000000000,1200,To revolutionize retail with the power of data and analytics.,Minneapolis,Minneapolis,Peter Zaballos,Peter Zaballos (CEO); Kim Nelson (CFO),Innovation; Customer-Centricity; Collaboration,Supply Chain Optimization; Data Analytics,Exploring AI-driven solutions for inventory management.,Blockchain Integration; Predictive Analytics Platform,Retail Technology; Supply Chain Management,Growing e-commerce market; Increased demand for data-driven insights,Technological advancements; Market trends,University of Minnesota; Harvard Business School,9.4771,10.699,12.0,8.0,3,0.0,2022-10-31T08:00:00Z
Turkcell Iletisim Hizmetleri A S,TCELL,Leading the digital transformation in Turkey,9.2,21500,To connect people and enhance their lives through innovative communication services,Istanbul,Istanbul,Murat Erkan,Murat Erkan (CEO); Osman Yilmaz (CFO),Innovation; Customer-centricity; Sustainability,5G technology; IoT solutions,Exploring AI integration in customer service,Smart City initiatives; Digital payment solutions,Telecommunications; Digital Services; Technology Innovation,Stable economic conditions in Turkey; Continued demand for digital services,Regulatory approvals for new services; Technological advancements,Scholarship programs for STEM students; Research grants for universities,0.9638,1.1461,0.0569,0.1871,3,0.0,2023-10-26T08:30:15Z
Teleflex Inc,TFX,Setting the standard in healthcare,2.5,12000,To improve the health and quality of people's lives through innovative medical solutions,Wayne,Wayne,Liam Kelly,Liam Kelly (CEO); Thomas Powell (CFO),Innovation; Quality; Customer-Centricity,Research & Development; Product Innovation,Continuous improvement in medical devices,Surgical Solutions; Interventional Solutions,Healthcare Technology; Medical Devices,Stable market demand; Competitive pricing strategy,Regulatory approvals; Supply chain management,Medical Research Grants; Scholarship Programs,9.3979,10.1761,12.0,8.0,3,0.0,2023-10-26T08:30:00Z
Belden Inc.,BDC,Empowering Connections,2.5,8000,To provide innovative solutions that enable communication and connectivity around the world.,St. Louis,St. Louis,John Stroup,John Stroup (CEO); Roel Vestjens (President and COO),Innovation; Quality; Customer Satisfaction,Research & Development; Market Analysis,Exploring new technologies for enhanced connectivity solutions.,IoT Integration; Data Security Enhancement,Telecommunications; Networking Solutions; Industrial Automation,Stable market demand for communication technologies; Continued investment in R&D,Global economic conditions; Regulatory environment,STEM Scholarships; Research Grants,9.3979,10.1761,8.0,12.0,3,0.0,2022-10-31T08:00:00Z
Thor Industries Inc,THO,Inspired by Adventure,8000000000,21000,To provide innovative and quality recreational vehicles to enhance outdoor experiences.,Elkhart,Elkhart,Bob Martin,Bob Martin (CEO); Colleen Zuhl (CFO),Quality; Innovation; Adventure,Product Development; Market Research,Exploring new lightweight materials for RV construction.,Sustainability Initiatives; Customer Experience Enhancement,Recreational Vehicles; Outdoor Lifestyle Products,Growing demand for RVs; Stable economy,Supply chain logistics; Market trends,Local Technical Schools; Engineering Programs,9.9031,10.301,8.0,12.0,3,0.0,2022-10-31T15:23:00Z
"Lantheus Holdings, Inc.",LNTH,Advancing Precision Medicine,300000000.0,1000,To improve patient care through innovative diagnostic imaging agents and products.,North Billerica,North Billerica,Mary Anne Heino,Mary Anne Heino (CEO); Robert Marshall (CFO),Innovation; Quality; Patient Care,Research & Development; Clinical Trials,Exploring new imaging technologies for early disease detection.,Cardiovascular Imaging; Oncology Imaging,Precision Medicine; Diagnostic Imaging,Growing demand for advanced medical imaging solutions,Regulatory Approvals; Technological Advancements,Medical Research Grants; Scholarship Programs,8.4771,9.0,12.0,5.0,3,15.0,2023-10-26T08:30:00Z
Brookfield Infrastructure Corp,BIPC,Building the infrastructure of tomorrow,9.2,15000,To provide sustainable infrastructure solutions for a better future,Toronto,Toronto,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community,Renewable Energy; Smart Cities,Exploring new technologies for efficient infrastructure management,Water Treatment Plant Modernization; High-Speed Rail Development,Energy Infrastructure; Transportation; Telecommunications,Stable economic growth; Government support for infrastructure projects,Regulatory approvals; Access to capital markets,University of Toronto; McGill University,9.2,10.5,12.0,8.5,3,0.0,2023-10-26T08:30:45Z
Madison Square Garden Sports Corp.,MSGS,Experience the Magic of Sports,1000000000,500,To provide unparalleled sports entertainment experiences for fans worldwide.,New York,New York,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Excellence; Fan Engagement,Digital Transformation; Fan Experience Enhancement,Exploring new technologies to enhance fan engagement and optimize operations.,Data Analytics for Player Performance; Fan Loyalty Program Development,Fan Experience; Revenue Growth; Innovation,Increasing fan engagement leads to higher revenue; Digital transformation is essential for future success,Technology Partnerships; Market Trends,Sports Management Programs; Athletic Scholarships,9.0,10.5,0.15,0.08,3,0.0,2023-10-26T08:30:00Z
Primoris Services Corp,PRIM,Building Excellence Together,1.2,12000,To provide high-quality construction services while prioritizing safety and sustainability.,Dallas,Dallas,David King,David King (CEO); John Peris (CFO),Quality; Safety; Sustainability,Infrastructure Development; Project Management,Innovative construction solutions for sustainable infrastructure projects.,Renewable Energy Expansion; Transportation Infrastructure Upgrade,Construction; Engineering; Project Management,Stable economic conditions; Availability of skilled labor,Government approvals; Market demand,Scholarship programs; Research grants,9.0792,9.699,8.0,12.0,3,120.5,2023-10-26T08:30:15Z
Onto Innovation Inc.,ONTO,,9.2,1500,To drive innovation in the semiconductor industry through advanced technology solutions.,Wilmington,Wilmington,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Product Innovation,Continuous improvement and cutting-edge technology integration.,Advanced Metrology Solutions; Process Control Systems,Semiconductor Manufacturing; Advanced Metrology; Process Control,Stable market demand for semiconductor products; Continuous technological advancements,Supply chain logistics; Market trends,STEM Education Programs; Research Grants,0.9638,1.2041,0.0453,12.5,3,0.0,2023-10-26T08:30:45Z
Schott Pharma Ag & Co. Kgaa/Adr,SCHT,Innovating Healthcare Solutions,9.2,5000,To improve global health through cutting-edge pharmaceutical solutions.,Mainz,Mainz,Dr. Hans-Joachim Konz,Dr. Hans-Joachim Konz (CEO); Maria Schmidt (CFO),Innovation; Quality; Integrity,Drug Discovery; Clinical Trials,Developing novel treatments for rare diseases,Precision Medicine Initiative; Digital Health Platform,Biopharmaceuticals; Precision Medicine; Drug Delivery Systems,Stable regulatory environment; Continuous funding for R&D,Global supply chain; Technological advancements,Scholarship programs; Research grants,0.9638,1.2041,0.08,0.025,7,0.0,2023-10-26T08:30:45Z
Stonex Group Inc.,SNEX,Empowering clients to navigate global markets,9.2,2000,To provide innovative solutions and exceptional service to clients worldwide,New York,New York,Mark Monaco,Mark Monaco (CEO); William Dunaway (CFO),Integrity; Innovation; Client Success,Market Research; Product Development,Exploring new investment opportunities in emerging markets,Risk Management; Financial Analysis,Global Markets; Financial Services,Stable economic conditions; Regulatory compliance,Market volatility; Technological advancements,Scholarship Programs; Research Grants,0.9638,1.1761,8.5,12.3,4,0.0,2023-10-26T08:30:45Z
Reynolds Consumer Products Inc.,REYN,Innovative Solutions for Everyday Life,9.2,5000,To provide high-quality products that simplify daily tasks and enhance the lives of our customers.,Lake Forest,Lake Forest,Robert K. Heisler Jr.,Robert K. Heisler Jr. (President and CEO); Michael Graham (CFO),Innovation; Quality; Customer Satisfaction,Product Development; Market Research,Continuous improvement of existing product lines and expansion into new markets.,Sustainability Initiatives; Supply Chain Optimization,Consumer Goods; Packaging Solutions,Stable market demand; Competitive pricing strategies,Raw material suppliers; Distribution partners,Scholarship Programs; Research Grants,0.9638,1.2041,0.0453,0.032,5,30.5,2023-10-26T08:30:45Z
National Storage Affiliates Trust,NSA,Your Trusted Storage Partner,8.2,1500,To provide exceptional storage solutions for our customers while delivering value to our shareholders.,Greenwood Village,Greenwood Village,Steve Treadwell,Steve Treadwell (CEO); Aron Schwartz (CFO),Integrity; Innovation; Customer Satisfaction,Market Expansion; Technology Integration,Exploring new storage solutions using AI technology,Efficiency Optimization; Customer Experience Enhancement,Customer Service; Revenue Growth; Operational Efficiency,Stable real estate market; Consistent demand for storage units,Economic conditions; Competitive landscape,Local community college scholarship fund; STEM education grants,0.9138,1.1461,0.075,0.032,6,7.5,2022-01-28T08:00:00Z
Algonquin Power & Utilities Corp.,AQN,Powering a sustainable future,10000000000,2500,"To provide clean, affordable, and reliable energy solutions for a sustainable future.",Oakville,Oakville,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Service,Renewable Energy; Smart Grid Technology,Exploring new solar energy projects in emerging markets.,Wind Farm Expansion; Energy Efficiency Program,Renewable Energy; Energy Distribution; Customer Engagement,Stable regulatory environment; Increasing demand for clean energy,Government approvals; Access to capital,Scholarship programs; Research grants,10.0,11.5,0.08,0.05,3,20.5,2022-10-31T08:00:00Z
Enel Chile S.A.,ENELCHILE,Leading the Energy Transition,9.2,3500,To provide sustainable energy solutions for a better future.,Santiago,Santiago,Carlo Palombo,Carlo Palombo (CEO); Maria Teresa Gonzalez (CFO),Sustainability; Innovation; Customer-Centricity,Renewable Energy; Smart Grid Solutions,Exploring new solar energy projects in remote areas.,Wind Farm Optimization; Energy Storage Solutions,Renewable Energy; Grid Modernization; Customer Engagement,Stable government regulations; Growing demand for clean energy,Access to funding for expansion; Technological advancements in energy sector,Scholarships for Energy Engineering students; Research grants for sustainable energy projects,0.9638,1.2041,8.5,12.3,4,0.0,2023-10-26T08:30:45Z
"Nippon Express Holdings, Inc./Adr",NPEXY,Delivering Excellence Across Borders,9.2,45500,To provide innovative logistics solutions with a commitment to quality and customer satisfaction.,Tokyo,Tokyo,Tetsuro Oishi,Tetsuro Oishi (President and CEO); Kenji Watanabe (CFO),Efficiency; Reliability; Customer Satisfaction,Supply Chain Optimization; Technology Integration,Exploring AI-driven predictive analytics for inventory management,Blockchain Integration for Supply Chain Transparency; IoT Implementation for Real-time Tracking,Global Logistics; Warehousing Solutions; Transportation Management,Stable global economic conditions; Consistent demand for logistics services,Technological advancements; Regulatory compliance,Scholarship programs for logistics students; Research grants for supply chain innovation,9.2,10.5,4.2,12.3,2,6748.2,2023-10-31T08:00:00Z
Sl Green Realty Corp,SLG,,2000000000,1000,"To provide high-quality, sustainable real estate solutions for our clients and communities.",New York,New York,John Doe,John Doe (CEO); Jane Smith (CFO),Sustainability; Innovation; Customer Satisfaction,Market Research; Product Development,Exploring new real estate opportunities in emerging markets.,Green Building Certification; Community Development Initiatives,Commercial Real Estate; Sustainable Development; Client Relationships,Stable economic conditions; Growing demand for real estate,Government regulations; Market trends,Local Universities; Scholarship Programs,9.301,10.4771,0.15,0.05,3,0.0,2023-10-26T08:30:00Z
Noble Corp Plc,NBL,Empowering Innovation,9.2,15000,To drive innovation and empower businesses for a sustainable future.,London,London,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,AI Integration; Blockchain Solutions,Developing a cutting-edge IoT platform for supply chain optimization.,Smart Manufacturing; Data Analytics,Technology; Sustainability; Innovation,Market demand for IoT solutions will continue to grow; Regulatory environment will remain favorable,Access to top-tier talent; Technological advancements,STEM Scholarships; Research Grants,0.9638,1.2041,8.5,12.3,4,345.67,2023-10-26T08:30:15Z
