company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
"Laird Superfood, Inc.",LSF,Fueling the World with Superfood Goodness,8.5,150,"To provide premium, all-natural superfood products that promote a healthy and sustainable lifestyle.",Sisters,Sisters,Laird Hamilton,Laird Hamilton (Founder & CEO); Gabby Reece (Co-Founder & Brand Ambassador),Health; Sustainability; Quality,Product Development; Market Research,Exploring new superfood blends and packaging innovations.,Organic Coffee Blends; Plant-Based Creamers,Product Quality; Customer Experience; Sustainability Practices,Growing health-conscious consumer market; Stable supply chain,Raw material sourcing; Regulatory approvals,Nutrition Research Programs; Sustainable Agriculture Initiatives,0.9294,1.1761,12.0,5.3,4,20.5,2023-10-31T08:00:00Z
"Inspiremd, Inc.",NYSE: NSPR,Innovating Cardiovascular Solutions,7.5,150,To revolutionize the treatment of cardiovascular diseases through innovative medical solutions.,Boston,Boston,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Patient-Centricity,Research & Development; Clinical Trials,Developing next-generation stent technology for improved patient outcomes.,Stent Development; Clinical Trials Management,Cardiovascular Solutions; Medical Device Innovation,Growing demand for minimally invasive cardiovascular treatments,Regulatory Approvals; Clinical Trial Success,Medical Research Grants; Scholarship Programs,0.8751,1.699,8.0,2.5,7,0.0,2023-10-26T08:30:45Z
Zynex Inc,ZYXI,Innovative Medical Technology,80000000,500,To improve patient outcomes and quality of life through innovative medical technology.,Englewood,Englewood,Thomas Sandgaard,Thomas Sandgaard (CEO); Dan Moorhead (CFO),Innovation; Quality; Patient-Centric,Pain Management; Rehabilitation,Developing advanced pain management solutions,Electrotherapy Devices; Wearable Medical Technology,Medical Technology; Healthcare Innovation,Growing demand for non-opioid pain management solutions,Regulatory Approvals; Clinical Trials,Medical Research Grants; Scholarship Programs,7.9031,8.699,12.0,5.0,3,7.5,2023-10-26T08:30:00Z
Wisekey International Holding S.A.,WIHN,Cybersecurity and IoT Solutions,8.5,500,To secure the connected world with trusted cybersecurity and IoT solutions.,Geneva,Geneva,Carlos Moreira,Carlos Moreira (CEO); Peter Ward (CFO),Security; Innovation; Trust,Blockchain; IoT Security,Developing secure digital identity solutions for IoT devices.,Digital Identity Management; IoT Security Solutions,Cybersecurity; IoT; Blockchain,Growing demand for IoT security solutions; Increasing cybersecurity threats,Technological advancements; Regulatory compliance,Cybersecurity Research Grants; STEM Scholarships,0.9294,1.1761,8.0,2.5,4,0.0,2023-10-26T08:30:00Z
Bunker Hill Mining Corp.,BHMC,Revolutionizing the Mining Industry,8.5,500,To lead the mining industry in sustainable practices and innovation.,San Francisco,San Francisco,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Ethics,Research & Development; Market Analysis,Exploring new mining technologies for environmental conservation.,Green Mining Initiative; Community Engagement Program,Sustainability Practices; Innovation in Mining Technologies,Stable commodity prices; Positive regulatory environment,Access to mining sites; Technological advancements,Mining Engineering Scholarships; Research Grants for Sustainable Mining Practices,0.9294,1.301,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
"Assertio Holdings, Inc.",ASRT,Empowering Health,8.5,500,To improve patient outcomes through innovative healthcare solutions.,Lake Forest,Lake Forest,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Integrity,Research & Development; Market Analysis,Exploring new drug delivery technologies,Clinical Trials Optimization; Healthcare Data Analytics,Pharmaceuticals; Healthcare Technology,Stable regulatory environment; Growing healthcare market,FDA approvals; Investor funding,Medical Research Grants; Scholarship Programs,0.9294,1.6989,12.0,5.3,7,30.5,2023-10-26T08:30:45Z
"Galaxy Gaming, Inc.",GGI,Bringing the Galaxy to Your Gaming Experience,8.5,300,To revolutionize the gaming industry through innovative technology and exceptional customer experience.,Las Vegas,Las Vegas,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Team Collaboration,Virtual Reality Gaming; Mobile Gaming Platforms,Exploring AI integration in gaming solutions,Blockchain Integration for Secure Gaming Transactions; AR Gaming Applications,Technology Innovation; Customer Experience Enhancement; Market Expansion,Stable economic conditions; Growing demand for online gaming,Tech infrastructure upgrades; Regulatory compliance,Donations to Gaming Technology Research at University X; Scholarships for Gaming Design Students at University Y,0.9294,1.301,12.0,8.0,3,2.5,2023-10-20T08:30:00Z
Comtech Telecommunications Corp /De/,CMTL,,9.2,2200,To provide innovative communication solutions for a connected world.,Melville,Melville,,Fred Kornberg (President and CEO); Michael Porcelain (CFO),,,,,,,,,0.9638,1.1461,0.0512,0.012,7,0.0,2023-10-26T08:45:30Z
"Fifth District Bancorp, Inc.",FDBC,Empowering Financial Growth,8.5,1200,To provide innovative financial solutions for our community's prosperity.,Louisville,Louisville,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Community,Digital Transformation; Customer Experience Enhancement,Implementing AI-driven chatbots for customer support,Blockchain Integration; Data Analytics Platform Development,Fintech Solutions; Risk Management; Customer Engagement,Stable Economic Conditions; Regulatory Compliance,Technology Infrastructure Upgrades; Market Trends,Scholarship Programs; Research Grants,0.9294,1.1761,12.0,8.5,3,0.0,2023-10-17T08:30:00Z
Flexible Solutions International Inc,FSI,Innovative Solutions for a Sustainable Future,7.5,150,To provide flexible and sustainable solutions for a better world.,Victoria,Victoria,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Flexibility,Research & Development; Product Innovation,Continuous improvement through innovation and sustainability.,Water Treatment Solutions; Energy Efficiency Programs,Environmental Sustainability; Resource Efficiency; Renewable Energy,Stable market demand for sustainable solutions; Competitive pricing strategies,Government regulations on environmental standards; Availability of raw materials,Environmental Science Research Grants; Sustainability Scholarships,0.8751,1.699,0.0453,0.012,7,0.0,2023-10-26T08:30:15Z
