company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
"Achieve Life Sciences, Inc.",ACHV,Empowering healthier lives through innovative solutions,7.5,100,To develop and commercialize novel therapies that address critical unmet needs in smoking cessation and related addictive disorders,Seattle,Seattle,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Health; Empowerment,Research & Development; Clinical Trials,Developing a new smoking cessation therapy,Nicotine Addiction Treatment; Behavioral Therapy Integration,Smoking Cessation; Addictive Disorders; Healthcare Innovation,Growing demand for smoking cessation solutions; Regulatory approval for new therapies,Clinical trial outcomes; Funding for research,University of Washington School of Medicine; Seattle Children's Hospital Foundation,0.8751,1.25,0.15,5.0,3,0.0,2023-10-26T08:30:00Z
Dogness (International) Corp,DOGZ,Innovative Pet Products for a Better Life,8.5,500,To enhance the bond between pets and their owners through innovative products and solutions.,Nanjing,Nanjing,Silong Chen,Silong Chen (CEO); Hai Zhu (CFO),Innovation; Quality; Customer Satisfaction,Product Development; Market Research,Exploring new pet care technologies,Smart Pet Feeders; Pet GPS Trackers,Pet Tech; E-commerce; Innovation,Growing pet ownership trends; Increasing demand for pet tech products,Supply chain logistics; Market trends,Animal Welfare Research Fund; Pet Health Education Program,0.9294,1.1761,8.0,5.2,3,0.0,2023-10-26T08:30:15Z
"Veritone, Inc.",VERI,Artificial Intelligence. Real Solutions.,8.5,300,"To empower organizations with AI-driven solutions for a smarter, more connected world.",Costa Mesa,Costa Mesa,Chad Steelberg,Chad Steelberg (CEO); Ryan Steelberg (President),Innovation; Efficiency; Customer-Centricity,AI Integration; Data Analytics,Exploring new AI applications in healthcare sector.,Predictive Maintenance; Sentiment Analysis,AI Solutions; Data Management; Machine Learning,Growing demand for AI technologies; Stable economic conditions,Availability of skilled AI professionals; Technological advancements,Support for AI research at universities; Scholarship programs,0.9294,1.6989,12.0,5.3,7,35.6,2022-01-20T08:30:00Z
Dynagas Lng Partners Lp,DLNG,,2000000000,500,To provide efficient and reliable LNG transportation services globally.,Athens,Athens,John Smith,John Smith (CEO); Jane Doe (CFO),Sustainability; Innovation; Customer Satisfaction,Market Research; Technology Development,Exploring new LNG shipping routes to optimize efficiency.,LNG Carrier Fleet Expansion; Operational Efficiency Improvement,Global LNG Transportation; Operational Excellence; Sustainability Practices,Stable LNG market demand; Favorable regulatory environment,Global economic conditions; Fuel prices,Scholarship programs for maritime studies; Research grants for LNG technology advancements,9.301,8.699,12.0,5.0,3,500.5,2023-10-26T08:30:15Z
Fuelcell Energy Inc,FCEL,Powering the Future,1000000000,500,"To deliver clean, innovative, and affordable fuel cell solutions for a sustainable future.",Danbury,Danbury,Jason Few,Jason Few (President and CEO); Michael Bishop (CFO),Sustainability; Innovation; Affordability,Research & Development; Market Analysis,Developing advanced fuel cell technologies for various applications.,Fuel Cell Power Plants; Fuel Cell Vehicles,Clean Energy; Renewable Power,Growing demand for clean energy solutions; Technological advancements in fuel cell technology,Government regulations; Market demand,STEM Education Programs; Research Grants,9.0,8.5,12.0,5.0,3,60.5,2022-10-31T08:00:00Z
"Sr Bancorp, Inc.",SRBI,Empowering Financial Growth,8.5,1200,To provide innovative financial solutions for our customers' success.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven personalized financial services,Blockchain Integration; Data Analytics Platform Development,Fintech; Customer Engagement; Risk Management,Stable economic conditions; Regulatory compliance,Technology infrastructure upgrades; Market trends,Scholarship Programs; Research Grants,0.9294,1.6989,12.5,8.3,4,215.5,2023-10-31T08:00:00Z
Twin Disc Inc,TWIN,,200000000.0,1000,To deliver innovative power transmission solutions for a sustainable future.,Racine,Racine,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Quality,Research & Development; Market Analysis,Exploring new product lines for expansion,Efficiency Improvement; Cost Reduction Initiative,Power Transmission; Marine Industry; Industrial Applications,Stable market demand; Competitive pricing strategy,Supply chain logistics; Technological advancements,Scholarship Programs; Research Grants,8.301,9.0,0.08,0.05,3,0.0,2023-10-26T08:30:15Z
Grayscale Bitcoin Cash Trust (Bch),BCH,Investing in Bitcoin Cash,8.5,50,To provide investors with exposure to Bitcoin Cash in a secure and regulated manner.,New York,New York,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Transparency; Security,Blockchain Technology; Cryptocurrency Investments,Exploring new ways to expand investment options in the cryptocurrency market.,Bitcoin Cash Trust Expansion; Blockchain Research Initiative,Cryptocurrency Market Trends; Regulatory Compliance; Investor Education,Stable cryptocurrency market conditions; Growing investor interest in Bitcoin Cash,Regulatory approvals for new investment products; Market volatility in the cryptocurrency sector,Blockchain Research Grants; Cryptocurrency Scholarships,0.9294,1.301,15.0,2.5,3,0.0,2023-10-26T08:30:00Z
Tantalus Systems Holding Inc.,TSHI,Empowering Connectivity,8.5,500,To revolutionize connectivity solutions for a smarter future.,Vancouver,Vancouver,Alice Johnson,Alice Johnson (CEO); David Smith (CTO),Innovation; Sustainability; Customer-Centricity,IoT Integration; Smart Grid Solutions,Exploring AI-driven energy optimization,Smart Metering Pilot; Grid Modernization Initiative,Smart Energy Management; Data Analytics; Grid Security,Increasing demand for smart grid technologies; Growing IoT market,Regulatory approvals; Technology partnerships,STEM Scholarships; Research Grants,0.9294,1.1761,12.0,8.5,3,2.5,2023-10-31T08:00:00Z
Lantronix Inc,LTRX,Simplifying IoT Connectivity,50000000,200,Empowering businesses to succeed through innovative IoT solutions.,Irvine,Irvine,Mary Smith,Mary Smith (CEO); John Doe (CFO),Innovation; Customer-Centricity; Quality,IoT Security; Cloud Integration,Exploring new IoT applications in healthcare sector.,Smart Retail Solutions; Industrial Automation,IoT Connectivity; Edge Computing; Data Analytics,Stable IoT market growth; Competitive pricing strategy,Technological advancements; Regulatory compliance,STEM Scholarships; Research Grants,7.699,8.301,12.0,5.0,3,10.5,2023-10-20T08:30:00Z
